Surface_Temp,Bottom_Temp,Surface_Salinity,Bottom_Salinity,temp_strat,salt_strat
23.45271663,14.98862011,31.56278383,32.42937547,8.46409652,0.866591639
22.50043908,16.9741115,31.79706453,32.2489383,5.526327581,0.451873771
23.54177283,18.55010674,29.34863523,32.03648998,4.991666087,2.68785475
23.07818099,13.83190395,27.7547863,32.35774274,9.246277045,4.602956439
23.10986385,13.2275311,27.15989969,32.24565882,9.882332757,5.085759132
22.5930746,19.95599116,27.85278043,31.37332858,2.637083447,3.520548152
23.17561812,14.92732358,25.98823838,32.42964324,8.248294537,6.441404864
23.41975656,14.11569598,26.85398585,32.15142109,9.304060578,5.297435242
23.28929767,17.42439161,27.41626764,31.69937244,5.86490606,4.283104806
23.38854033,19.45586016,30.89297155,32.00078521,3.932680168,1.107813663
22.61266194,20.0085997,31.65483384,31.97556904,2.604062235,0.320735199
22.61266194,20.0085997,31.65483384,31.97556904,2.604062235,0.320735199
21.79972609,18.63105819,31.90941162,32.1059367,3.168667892,0.196525083
20.92349715,17.99249815,31.80964739,31.90934117,2.930999003,0.099693778
20.77024932,18.09823786,31.86690652,31.97616826,2.672011464,0.109261746
20.77024932,18.09823786,31.86690652,31.97616826,2.672011464,0.109261746
21.6726868,20.89837029,31.65907994,32.05461962,0.774316515,0.395539684
21.55098708,19.1166105,31.87148622,32.24026712,2.434376577,0.368780898
21.90945372,21.54758384,31.24355564,31.29981462,0.361869882,0.056258981
21.55350027,19.14765266,31.68953633,31.83460433,2.405847611,0.145068002
22.19954838,15.54157809,30.71069435,32.05275443,6.657970293,1.34206008
22.0521663,15.05778715,31.53818339,32.27621341,6.994379143,0.738030016
21.76380683,17.99883165,31.57556998,31.87112931,3.764975187,0.295559334
21.20785065,20.59661488,31.79012832,31.80803189,0.611235769,0.017903579
20.49248749,18.47731027,31.89390902,31.97853762,2.015177228,0.084628604
20.54935174,16.28604209,31.85012534,32.11543975,4.263309646,0.265314403
22.97180259,14.29171511,31.49413498,32.28832745,8.680087482,0.79419247
23.62075294,14.63196013,31.5892619,32.55505608,8.988792801,0.965794177
